dataset,pred_len,mse,mae,model_id,seed,trainable_parameters,epochs_recorded,train_seconds,log_path,activation,alpha,armor_cycle,armor_dropout,armor_lr_scale,armor_scale,batch_size,c_out,channel_independence,checkpoints,class_strategy,compile,d_ff,d_layers,d_model,data,data_path,dec_in,des,devices,distil,do_predict,dropout,e_layers,efficient_training,embed,enc_in,exp_name,factor,features,fix_seed,freq,geomattn_dropout,gpu,inverse,is_training,itr,kernel_size,l1_weight,label_len,learning_rate,loss,lradj,m,model,moving_avg,n_heads,num_workers,output_attention,partial_start_index,patience,pct_start,requires_grad,root_path,seq_len,target,target_data_path,target_root_path,train_epochs,use_amp,use_embedding_armor,use_gpu,use_multi_gpu,use_norm,use_xlinear_gate,weight_decay,wv,x_channel_ff,x_gate_dropout,x_temporal_ff
ETTh1,96,0.3581286370754242,0.39038798213005066,ETTh1_p96_arch7,2025,50584,10,59.94683122634888,logs/esimpletm_grid_expanded_ETTh1/ETTh1_p96_arch7.log,gelu,0.3,24,0.0,1.4,1.25,256,7,False,./checkpoints/,projection,False,64,1,64,ETTh1,ETTh1.csv,7,ESimpleTMGridETT2,"0,1,2,3",True,False,0.1,1,False,timeF,7,MTSF,1,M,2025,h,0.5,0,False,1,1,,0.0005,0,0.02,MSE,TST,3,SimpleTM,25,8,10,False,0,3,0.2,True,./dataset/ETT-small/,96,OT,electricity.csv,./data/electricity/,10,False,1,True,False,1,,0.01,db1,,,
ETTh1,96,0.3581286370754242,0.39038798213005066,ETTh1_p96_arch7,2025,50584,10,32.711607933044434,logs/night_grid_ETTh1/ETTh1_p96_arch7.log,gelu,0.3,24,0.0,1.4,1.25,256,7,False,./checkpoints/,projection,False,64,1,64,ETTh1,ETTh1.csv,7,NightGrid,"0,1,2,3",True,False,0.1,1,False,timeF,7,MTSF,1,M,2025,h,0.5,0,False,1,1,,0.0005,0,0.02,MSE,TST,3,SimpleTM,25,8,10,False,0,3,0.2,True,./dataset/ETT-small/,96,OT,electricity.csv,./data/electricity/,10,False,1,True,False,1,,0.01,db1,,,
ETTh1,96,0.3587871789932251,0.39017555117607117,ETTh1_p96_lr0.03,2025,19224,10,60.63404297828674,logs/esimpletm_grid_expanded_ETTh1/ETTh1_p96_lr0.03.log,gelu,0.3,24,0.0,1.4,1.25,256,7,False,./checkpoints/,projection,False,32,1,32,ETTh1,ETTh1.csv,7,ESimpleTMGridETT2,"0,1,2,3",True,False,0.1,1,False,timeF,7,MTSF,1,M,2025,h,0.5,0,False,1,1,,0.0005,0,0.03,MSE,TST,3,SimpleTM,25,8,10,False,0,3,0.2,True,./dataset/ETT-small/,96,OT,electricity.csv,./data/electricity/,10,False,1,True,False,1,,0.01,db1,,,
ETTh1,96,0.35882753133773804,0.3897407054901123,ETTh1_p96_as2.5,2025,19224,10,60.82327628135681,logs/esimpletm_grid_expanded_ETTh1/ETTh1_p96_as2.5.log,gelu,0.3,24,0.0,1.4,2.5,256,7,False,./checkpoints/,projection,False,32,1,32,ETTh1,ETTh1.csv,7,ESimpleTMGridETT2,"0,1,2,3",True,False,0.1,1,False,timeF,7,MTSF,1,M,2025,h,0.5,0,False,1,1,,0.0005,0,0.02,MSE,TST,3,SimpleTM,25,8,10,False,0,3,0.2,True,./dataset/ETT-small/,96,OT,electricity.csv,./data/electricity/,10,False,1,True,False,1,,0.01,db1,,,
ETTh1,96,0.3588731288909912,0.38997042179107666,ETTh1_p96_lr_high,2025,19224,10,30.518337965011597,logs/night_grid_ETTh1/ETTh1_p96_lr_high.log,gelu,0.3,24,0.0,1.4,1.25,256,7,False,./checkpoints/,projection,False,32,1,32,ETTh1,ETTh1.csv,7,NightGrid,"0,1,2,3",True,False,0.1,1,False,timeF,7,MTSF,1,M,2025,h,0.5,0,False,1,1,,0.0005,0,0.028,MSE,TST,3,SimpleTM,25,8,10,False,0,3,0.2,True,./dataset/ETT-small/,96,OT,electricity.csv,./data/electricity/,10,False,1,True,False,1,,0.01,db1,,,
ETTh1,96,0.35903629660606384,0.3895069360733032,ETTh1_p96_wvdb4,2025,19392,10,68.58508563041687,logs/esimpletm_grid_expanded_ETTh1/ETTh1_p96_wvdb4.log,gelu,0.3,24,0.0,1.4,1.25,256,7,False,./checkpoints/,projection,False,32,1,32,ETTh1,ETTh1.csv,7,ESimpleTMGridETT2,"0,1,2,3",True,False,0.1,1,False,timeF,7,MTSF,1,M,2025,h,0.5,0,False,1,1,,0.0005,0,0.02,MSE,TST,3,SimpleTM,25,8,10,False,0,3,0.2,True,./dataset/ETT-small/,96,OT,electricity.csv,./data/electricity/,10,False,1,True,False,1,,0.01,db4,,,
ETTh1,96,0.3591008484363556,0.3897044360637665,ETTh1_p96_wvbior3.3,2025,19392,10,71.0509352684021,logs/esimpletm_grid_expanded_ETTh1/ETTh1_p96_wvbior3.3.log,gelu,0.3,24,0.0,1.4,1.25,256,7,False,./checkpoints/,projection,False,32,1,32,ETTh1,ETTh1.csv,7,ESimpleTMGridETT2,"0,1,2,3",True,False,0.1,1,False,timeF,7,MTSF,1,M,2025,h,0.5,0,False,1,1,,0.0005,0,0.02,MSE,TST,3,SimpleTM,25,8,10,False,0,3,0.2,True,./dataset/ETT-small/,96,OT,electricity.csv,./data/electricity/,10,False,1,True,False,1,,0.01,bior3.3,,,
ETTh1,96,0.35916271805763245,0.38956502079963684,ETTh1_p96_wd0.05,2025,19224,10,59.20957827568054,logs/esimpletm_grid_expanded_ETTh1/ETTh1_p96_wd0.05.log,gelu,0.3,24,0.0,1.4,1.25,256,7,False,./checkpoints/,projection,False,32,1,32,ETTh1,ETTh1.csv,7,ESimpleTMGridETT2,"0,1,2,3",True,False,0.1,1,False,timeF,7,MTSF,1,M,2025,h,0.5,0,False,1,1,,0.0005,0,0.02,MSE,TST,3,SimpleTM,25,8,10,False,0,3,0.2,True,./dataset/ETT-small/,96,OT,electricity.csv,./data/electricity/,10,False,1,True,False,1,,0.05,db1,,,
ETTh1,96,0.3593432605266571,0.39040425419807434,ETTh1_p96_alr3.0,2025,19224,10,57.20898175239563,logs/esimpletm_grid_expanded_ETTh1/ETTh1_p96_alr3.0.log,gelu,0.3,24,0.0,3.0,1.25,256,7,False,./checkpoints/,projection,False,32,1,32,ETTh1,ETTh1.csv,7,ESimpleTMGridETT2,"0,1,2,3",True,False,0.1,1,False,timeF,7,MTSF,1,M,2025,h,0.5,0,False,1,1,,0.0005,0,0.02,MSE,TST,3,SimpleTM,25,8,10,False,0,3,0.2,True,./dataset/ETT-small/,96,OT,electricity.csv,./data/electricity/,10,False,1,True,False,1,,0.01,db1,,,
ETTh1,96,0.3594197928905487,0.3898540437221527,ETTh1_p96_wvbior3.1,2025,19280,10,63.9567015171051,logs/esimpletm_grid_expanded_ETTh1/ETTh1_p96_wvbior3.1.log,gelu,0.3,24,0.0,1.4,1.25,256,7,False,./checkpoints/,projection,False,32,1,32,ETTh1,ETTh1.csv,7,ESimpleTMGridETT2,"0,1,2,3",True,False,0.1,1,False,timeF,7,MTSF,1,M,2025,h,0.5,0,False,1,1,,0.0005,0,0.02,MSE,TST,3,SimpleTM,25,8,10,False,0,3,0.2,True,./dataset/ETT-small/,96,OT,electricity.csv,./data/electricity/,10,False,1,True,False,1,,0.01,bior3.1,,,
